,loss,AUC,NPV,accuracy,f1-score,fβ-score,precision (PPV),recall (sensitivity),specificity
0,0.4800267219543457,0.49981242418289185,0.672690749168396,0.7369889616966248,0.17960961163043976,0.20276455581188202,0.21920126676559448,0.23771215975284576,0.763563334941864
1,0.47319021821022034,0.5175883173942566,0.7953303456306458,0.757326602935791,0.13753415644168854,0.16811242699623108,0.26403194665908813,0.20531834661960602,0.7981541752815247
2,0.4728779196739197,0.5204313397407532,0.6725705862045288,0.7580730319023132,0.1289731115102768,0.16374258697032928,0.18747392296791077,0.20390497148036957,0.796684980392456
3,0.46711963415145874,0.5704134702682495,0.8173072338104248,0.7572117447853088,0.17533856630325317,0.195749431848526,0.4062025249004364,0.2249847948551178,0.7996833324432373
4,0.4726616442203522,0.5091285705566406,0.6726944446563721,0.758463442325592,0.13028007745742798,0.16451534628868103,0.283863365650177,0.20451043546199799,0.79727703332901
5,0.46148374676704407,0.5754715800285339,0.8495773077011108,0.7651469707489014,0.21556749939918518,0.23254945874214172,0.3316391408443451,0.2596873641014099,0.8055392503738403
6,0.4439939260482788,0.6311041116714478,0.859774649143219,0.7727606296539307,0.2838027775287628,0.31094247102737427,0.26034805178642273,0.3382546305656433,0.8083236813545227
7,0.43248191475868225,0.6688534617424011,0.8650671243667603,0.7773196697235107,0.3200099468231201,0.3552218973636627,0.34428632259368896,0.3854247033596039,0.8059818744659424
8,0.39587369561195374,0.749046266078949,0.8819833397865295,0.8033876419067383,0.37316861748695374,0.39958932995796204,0.3725129961967468,0.4241459369659424,0.8396686911582947
9,0.3646261692047119,0.7945257425308228,0.8947508931159973,0.8213481903076172,0.4315863251686096,0.44950395822525024,0.4134710133075714,0.46480825543403625,0.8570892214775085
10,0.34769320487976074,0.8163482546806335,0.905066967010498,0.8273656368255615,0.47265708446502686,0.4990011155605316,0.4865831732749939,0.5192939043045044,0.8537316918373108
11,0.3389538824558258,0.8295631408691406,0.9083589315414429,0.8327515125274658,0.4854949116706848,0.5113198161125183,0.5006340146064758,0.5317866802215576,0.8583500981330872
12,0.32490330934524536,0.8450681567192078,0.9140858054161072,0.8429604768753052,0.5171520113945007,0.5368629693984985,0.5285277962684631,0.5538374185562134,0.8684327006340027
13,0.31322792172431946,0.8585197329521179,0.9189125895500183,0.8506201505661011,0.5532370805740356,0.5677770376205444,0.5611416101455688,0.5818494558334351,0.8744272589683533
14,0.30207204818725586,0.8740526437759399,0.9235633015632629,0.8560289144515991,0.6013073325157166,0.6157327890396118,0.5887702703475952,0.6281981468200684,0.8770309686660767
15,0.28985583782196045,0.8874096274375916,0.929303765296936,0.8622645735740662,0.638787031173706,0.6599330902099609,0.6107457876205444,0.6761948466300964,0.879597544670105
16,0.27744463086128235,0.8989759683609009,0.9336884617805481,0.868385374546051,0.6662102937698364,0.6914370059967041,0.6312817335128784,0.7104092836380005,0.8834152221679688
17,0.2679053843021393,0.9072372317314148,0.9368749260902405,0.8735415935516357,0.6870121955871582,0.7151854038238525,0.6475455164909363,0.7362275719642639,0.8867285251617432
18,0.26169708371162415,0.9120500683784485,0.9392762780189514,0.876596212387085,0.6934109926223755,0.7229779958724976,0.651358962059021,0.7448676824569702,0.8892736434936523
19,0.2529458999633789,0.9182966351509094,0.9418584108352661,0.8818672895431519,0.7084019184112549,0.7377154231071472,0.6664273738861084,0.7593239545822144,0.8939203023910522
