,loss,AUC,NPV,accuracy,f1-score,fβ-score,precision (PPV),recall (sensitivity),specificity
0,0.4680890738964081,0.5707694292068481,0.8515403270721436,0.7419384717941284,0.24239641427993774,0.2591073513031006,0.2700932025909424,0.2861725091934204,0.7654983997344971
1,0.38722312450408936,0.7627589702606201,0.8870020508766174,0.8088539242744446,0.4148653745651245,0.43294915556907654,0.4437149465084076,0.45056581497192383,0.8418715000152588
2,0.3311985731124878,0.837490975856781,0.9120272397994995,0.8410772085189819,0.5091622471809387,0.5300595760345459,0.5205162763595581,0.5474891662597656,0.8668771386146545
3,0.30939629673957825,0.8622154593467712,0.9212871789932251,0.8531924486160278,0.5612256526947021,0.5765848159790039,0.5657025575637817,0.590996503829956,0.8753640651702881
4,0.2930152118206024,0.8813592791557312,0.9278240203857422,0.8604271411895752,0.6148247718811035,0.6314685344696045,0.5969041585922241,0.6451766490936279,0.879120945930481
5,0.27415919303894043,0.9017020463943481,0.9363852143287659,0.8691547513008118,0.6644967794418335,0.6935160160064697,0.6239238977432251,0.7152156233787537,0.8819589614868164
6,0.2599547207355499,0.9132938385009766,0.9407896995544434,0.8771244883537292,0.6969177722930908,0.728570818901062,0.652079164981842,0.7520613670349121,0.8880907297134399
7,0.25268682837486267,0.9190627932548523,0.9428083896636963,0.8805580735206604,0.7077058553695679,0.7399020791053772,0.6617985963821411,0.7637037634849548,0.8906919956207275
8,0.24494709074497223,0.9235967993736267,0.9450457096099854,0.8847496509552002,0.7158077955245972,0.7481527328491211,0.6694918870925903,0.771996796131134,0.8948343992233276
9,0.23948881030082703,0.9267115592956543,0.9465087056159973,0.8878387808799744,0.7253320217132568,0.7579090595245361,0.6786303520202637,0.7819082736968994,0.8976695537567139
10,0.2368110567331314,0.9288255572319031,0.9480065107345581,0.8892626762390137,0.7298169136047363,0.7616802453994751,0.6838948726654053,0.78507399559021,0.8977718353271484
11,0.23175670206546783,0.9322614669799805,0.9491856098175049,0.8911920189857483,0.734778881072998,0.7684075832366943,0.6867932081222534,0.7932600378990173,0.8994155526161194
12,0.22942465543746948,0.9334942102432251,0.9495640993118286,0.8915364742279053,0.7377640604972839,0.7715122699737549,0.6890801787376404,0.7962906360626221,0.899552583694458
13,0.22765229642391205,0.9344420433044434,0.9500762224197388,0.8932590484619141,0.7417421936988831,0.7750500440597534,0.6938149333000183,0.7995473146438599,0.9013075232505798
14,0.22494792938232422,0.9363328814506531,0.9513602256774902,0.8946486115455627,0.7451828718185425,0.7782336473464966,0.6971722841262817,0.8023828268051147,0.9017869234085083
15,0.2231965810060501,0.9373891949653625,0.9512651562690735,0.8951883316040039,0.7462835311889648,0.7795901298522949,0.6979386806488037,0.8039426207542419,0.9026931524276733
16,0.21924352645874023,0.9397726058959961,0.9532539248466492,0.8967730402946472,0.7493525743484497,0.7833679914474487,0.6997979283332825,0.8081824779510498,0.9033461213111877
17,0.21776720881462097,0.9400313496589661,0.9534603357315063,0.8978870511054993,0.7528687715530396,0.7865360379219055,0.7039956450462341,0.8111525774002075,0.9044376611709595
18,0.21473553776741028,0.9422567486763,0.954113781452179,0.8986104726791382,0.755742073059082,0.7901301980018616,0.7056372165679932,0.8152152895927429,0.9045504331588745
19,0.21374355256557465,0.9427480101585388,0.9540891051292419,0.8993339538574219,0.7564696073532104,0.7896531820297241,0.707815408706665,0.8137531876564026,0.9057976007461548
