,loss,AUC,NPV,accuracy,f1-score,fβ-score,precision (PPV),recall (sensitivity),specificity
0,0.3699021339416504,0.7864036560058594,0.8962464332580566,0.8087391257286072,0.4329116940498352,0.461117684841156,0.4176885187625885,0.48355764150619507,0.8371822834014893
1,0.32859939336776733,0.8387118577957153,0.9161335229873657,0.8381373882293701,0.507546067237854,0.5363335609436035,0.5013490319252014,0.5597696304321289,0.8596946001052856
2,0.3051011264324188,0.8692900538444519,0.9253640174865723,0.8540078401565552,0.5921590924263,0.6129724979400635,0.5663484334945679,0.6293141841888428,0.87291020154953
3,0.2787553071975708,0.900115966796875,0.9351954460144043,0.8646646738052368,0.6634213328361511,0.6991431713104248,0.6124798059463501,0.7255916595458984,0.8764473795890808
4,0.2644060254096985,0.9111042022705078,0.9395545721054077,0.8712334036827087,0.6880913376808167,0.7260170578956604,0.6339749693870544,0.7540922164916992,0.880687952041626
5,0.25275567173957825,0.9189416766166687,0.9429787397384644,0.8772163391113281,0.7047903537750244,0.7432851791381836,0.6497759222984314,0.7717622518539429,0.8858456611633301
6,0.24586060643196106,0.9236717224121094,0.946057140827179,0.8813504576683044,0.7180107831954956,0.7575360536575317,0.6611266136169434,0.7866300344467163,0.888317883014679
7,0.24006392061710358,0.9267556071281433,0.9474437236785889,0.8848644495010376,0.7255432605743408,0.7621245384216309,0.672489583492279,0.7889016270637512,0.8919311165809631
8,0.23642118275165558,0.9292371869087219,0.9479349851608276,0.8864951729774475,0.7279292345046997,0.764297366142273,0.6749496459960938,0.7908302545547485,0.8937170505523682
9,0.23124277591705322,0.9329617619514465,0.9506951570510864,0.8883095979690552,0.7348637580871582,0.7743573188781738,0.6777707934379578,0.8033273816108704,0.8934653997421265
10,0.22893299162387848,0.9338305592536926,0.9519072771072388,0.8885622620582581,0.737604558467865,0.7786237001419067,0.6783953309059143,0.8087426424026489,0.8925137519836426
11,0.22604674100875854,0.9356586337089539,0.9528234601020813,0.8917202353477478,0.745140552520752,0.7829990983009338,0.6902695894241333,0.8107383251190186,0.8958791494369507
12,0.2261229008436203,0.9358347058296204,0.9517641663551331,0.8912034630775452,0.7428985238075256,0.7812510132789612,0.6871160864830017,0.8092683553695679,0.8964295387268066
13,0.22213920950889587,0.9384098052978516,0.953494131565094,0.8930178880691528,0.7482323050498962,0.7878031134605408,0.6909092664718628,0.8167948126792908,0.8969682455062866
14,0.22039589285850525,0.9393193125724792,0.9534009695053101,0.8927652835845947,0.7489054203033447,0.7887765765190125,0.6911815404891968,0.8180006742477417,0.8967599868774414
15,0.2187763750553131,0.9403753280639648,0.9536048769950867,0.8940284848213196,0.7505947351455688,0.7888162136077881,0.6951612830162048,0.8168105483055115,0.8981978297233582
16,0.21649345755577087,0.9415370225906372,0.9543246626853943,0.8958659172058105,0.7533575892448425,0.7914906740188599,0.6978042721748352,0.8193161487579346,0.9003461599349976
17,0.21325835585594177,0.9429506659507751,0.9550623297691345,0.8973357677459717,0.7582201957702637,0.79441237449646,0.7052441239356995,0.8207343816757202,0.9013133645057678
18,0.21296365559101105,0.9431929588317871,0.9565863609313965,0.8981855511665344,0.7604376673698425,0.7971549034118652,0.7069302797317505,0.8239537477493286,0.9013387560844421
19,0.21002036333084106,0.9448391199111938,0.9561886191368103,0.8978755474090576,0.762173593044281,0.7999292016029358,0.7072127461433411,0.8275068998336792,0.9009349346160889
