,loss,AUC,NPV,accuracy,f1-score,fβ-score,precision (PPV),recall (sensitivity),specificity
0,0.41373130679130554,0.7152731418609619,0.8727421760559082,0.7943040728569031,0.34487801790237427,0.3615563213825226,0.3622375726699829,0.37763404846191406,0.8355822563171387
1,0.36784300208091736,0.790937066078186,0.8957047462463379,0.8182016611099243,0.43598946928977966,0.4471338391304016,0.4607764780521393,0.4602910280227661,0.852972149848938
2,0.35317015647888184,0.8170326352119446,0.9043393731117249,0.8230363130569458,0.4979966878890991,0.5133675932884216,0.48711639642715454,0.5275382995605469,0.8509600758552551
3,0.34190234541893005,0.833894670009613,0.9092907905578613,0.8280317187309265,0.5327422618865967,0.5518774390220642,0.5114403367042542,0.5678889751434326,0.8523048758506775
4,0.3307999074459076,0.8489211201667786,0.913841724395752,0.8324414491653442,0.5606256723403931,0.5865345001220703,0.5262844562530518,0.6066158413887024,0.8536037802696228
5,0.32363373041152954,0.8568850755691528,0.9175136089324951,0.8357027769088745,0.5790237188339233,0.6090420484542847,0.5377175211906433,0.631844699382782,0.8545427918434143
6,0.31590116024017334,0.8636406064033508,0.9210937023162842,0.8408819437026978,0.5947180986404419,0.6267694234848022,0.5507725477218628,0.6511430144309998,0.8584384322166443
7,0.3089642822742462,0.871041476726532,0.923864483833313,0.8437069654464722,0.6083051562309265,0.6425639986991882,0.5606644153594971,0.6683737635612488,0.8594284057617188
8,0.30333012342453003,0.876751720905304,0.9253434538841248,0.8471176028251648,0.6183288097381592,0.6520791053771973,0.5716098546981812,0.6775814890861511,0.8621565103530884
9,0.29681405425071716,0.8815298080444336,0.9292587637901306,0.850884199142456,0.6326791048049927,0.6679909825325012,0.5842424035072327,0.694831132888794,0.8638156652450562
10,0.2892272174358368,0.8878742456436157,0.9310876727104187,0.855994462966919,0.6464131474494934,0.6809477806091309,0.5985021591186523,0.7069801092147827,0.8690868020057678
11,0.2828191816806793,0.8924800753593445,0.933883547782898,0.859175443649292,0.6568077802658081,0.6929118037223816,0.6067625880241394,0.7201652526855469,0.8706796169281006
12,0.2780700922012329,0.8968871235847473,0.9347013235092163,0.8616329431533813,0.6645592451095581,0.6998701095581055,0.6153905391693115,0.7264308333396912,0.8731478452682495
13,0.27024123072624207,0.9022825360298157,0.9372696876525879,0.8659049272537231,0.6750621795654297,0.7091226577758789,0.6274122595787048,0.7346600890159607,0.8764684200286865
14,0.26431095600128174,0.907095730304718,0.939750611782074,0.8692581653594971,0.6882038116455078,0.724358320236206,0.6373390555381775,0.7513918876647949,0.8785401582717896
15,0.25751402974128723,0.9118450284004211,0.941065788269043,0.872450590133667,0.695563793182373,0.7308289408683777,0.6452840566635132,0.7569564580917358,0.881854772567749
16,0.2518407702445984,0.9155489802360535,0.9437795877456665,0.8757694363594055,0.7077944278717041,0.7430621385574341,0.6577438712120056,0.769290566444397,0.883544921875
17,0.2444646954536438,0.9211239218711853,0.9454332590103149,0.8794097304344177,0.7158962488174438,0.7508628368377686,0.6660280227661133,0.7767761945724487,0.8870949745178223
18,0.23597988486289978,0.9262916445732117,0.9479976892471313,0.8842214345932007,0.7290879487991333,0.7636345624923706,0.6796572208404541,0.7891862392425537,0.8913202881813049
19,0.22711986303329468,0.9317882657051086,0.9503618478775024,0.890158474445343,0.739653468132019,0.7727022171020508,0.6917118430137634,0.7969080209732056,0.8977634310722351
